Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
189,2014,4,139,Prince Shembo\ShemPr00,LB,22,ATL,2014,2014,0,0,0,2,16,3,,,Notre Dame,College Stats
190,2014,5,144,Telvin Smith\SmitTe01,LB,23,JAX,2014,2018,0,1,5,44,76,69,9,7.5,Florida St.,College Stats
191,2014,5,151,Avery Williamson\WillAv00,LB,22,TEN,2014,2018,0,0,5,33,79,75,3,14.5,Kentucky,College Stats
192,2014,5,154,Jeremiah George\GeorJe01,LB,22,NYJ,2014,2017,0,0,0,3,37,1,,0.5,Iowa St.,College Stats
193,2014,5,156,Lamin Barrow\BarrLa00,LB,23,DEN,2014,2015,0,0,0,2,32,1,,,LSU,College Stats
194,2014,5,166,Jonathan Newsome\NewsJo00,LB,23,IND,2014,2015,0,0,0,4,30,3,,7.5,Ball St.,College Stats
195,2014,5,168,Marquis Spruill\SpruMa00,LB,23,ATL,2014,2014,0,0,0,0,0,,,,Syracuse,College Stats
196,2014,5,169,Ronald Powell\PoweRo01,LB,23,NOR,2014,2014,0,0,0,1,14,0,,,Florida,College Stats
197,2014,5,171,Jordan Tripp\TripJo00,LB,23,MIA,2014,2017,0,0,0,3,37,2,,,Montana,
198,2014,6,192,Jordan Zumwalt\ZumwJo00,LB,22,PIT,2014,2014,0,0,0,0,0,,,,UCLA,College Stats
199,2014,6,203,Andrew Jackson\JackAn02,LB,22,IND,2014,2014,0,0,0,1,13,0,,1.0,Western Kentucky,College Stats
200,2014,6,212,Marquis Flowers\FlowMa00,LB,22,CIN,2014,2018,0,0,0,6,53,3,,3.5,Arizona,College Stats
201,2014,7,221,Randell Johnson\JohnRa01,LB,23,BUF,2014,2016,0,0,0,2,16,1,,,Florida Atlantic,College Stats
202,2014,7,223,Brandon Watts\WattBr00,LB,23,MIN,2014,2015,0,0,0,0,9,0,,,Georgia Tech,College Stats
203,2014,7,233,Trevor Reilly\ReilTr00,LB,26,NYJ,2014,2017,0,0,0,3,37,1,,1.0,Utah,College Stats
