,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
15,Jyaire Shorter\jyaire-shorter-1,North Texas,CUSA,12,24,473,19.7,9,0,0,,0,24,473,19.7,9
16,Bryce Mitchell\bryce-mitchell-1,Toledo,MAC,11,35,679,19.4,4,0,0,,0,35,679,19.4,4
17,Austin Maloney*\austin-maloney-1,Florida International,CUSA,12,33,639,19.4,2,0,0,,0,33,639,19.4,2
18,Antonio Gibson*\antonio-gibson-2,Memphis,American,14,38,735,19.3,8,33,369,11.2,4,71,1104,15.5,12
19,Jalen Tolbert\jalen-tolbert-1,South Alabama,Sun Belt,12,27,521,19.3,6,0,0,,0,27,521,19.3,6
20,Austin Watkins*\austin-watkins-1,UAB,CUSA,14,57,1092,19.2,6,1,-1,-1.0,0,58,1091,18.8,6
21,Josh Imatorbhebhe*\josh-imatorbhebhe-1,Illinois,Big Ten,10,33,634,19.2,9,0,0,,0,33,634,19.2,9
22,Jordan Kress\jordan-kress-1,New Mexico,MWC,10,28,530,18.9,6,0,0,,0,28,530,18.9,6
23,Reggie Roberson Jr.*\reggie-roberson-jr-1,SMU,American,8,43,803,18.7,6,2,7,3.5,0,45,810,18.0,6
24,Henry Ruggs III*\henry-ruggs-iii-1,Alabama,SEC,12,40,746,18.7,7,2,75,37.5,1,42,821,19.5,8
25,Yo'Heinz Tyler\yoheinz-tyler-1,Ball State,MAC,11,27,504,18.7,5,0,0,,0,27,504,18.7,5
26,Devonta Smith*\devonta-smith-1,Alabama,SEC,13,68,1256,18.5,14,0,0,,0,68,1256,18.5,14
27,John Hightower*\john-hightower-1,Boise State,MWC,14,51,943,18.5,8,16,154,9.6,0,67,1097,16.4,8
28,Chatarius Atwell*\chatarius-atwell-1,Louisville,ACC,13,69,1272,18.4,11,9,33,3.7,0,78,1305,16.7,11
29,Quez Watkins*\quez-watkins-1,Southern Mississippi,CUSA,12,64,1178,18.4,6,1,1,1.0,0,65,1179,18.1,6
30,Brandon Aiyuk*\brandon-aiyuk-1,Arizona State,Pac-12,12,65,1192,18.3,8,1,6,6.0,0,66,1198,18.2,8
31,JD Spielman\jd-spielman-1,Nebraska,Big Ten,12,49,898,18.3,5,4,31,7.8,0,53,929,17.5,5
32,Hunter Long*\hunter-long-3,Boston College,ACC,11,28,509,18.2,2,0,0,,0,28,509,18.2,2
33,Dez Fitzpatrick*\dez-fitzpatrick-1,Louisville,ACC,11,35,635,18.1,6,0,0,,0,35,635,18.1,6
34,Jahan Dotson*\jahan-dotson-1,Penn State,Big Ten,13,27,488,18.1,5,2,0,0.0,0,29,488,16.8,5
35,Griffin Hebert*\griffin-hebert-1,Louisiana Tech,CUSA,12,30,537,17.9,6,0,0,,0,30,537,17.9,6
36,Omar Bayless*\omar-bayless-1,Arkansas State,Sun Belt,13,93,1653,17.8,17,0,0,,0,93,1653,17.8,17
