Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
25,2018,2,57,P.J. Hall\HallP.00,DT,23,OAK,2018,2019,0,0,1,8,30,18,,1.5,Sam Houston St.,
26,2018,3,69,B.J. Hill\HillB.00,DT,23,NYG,2018,2019,0,0,2,9,32,17,,6.5,North Carolina St.,College Stats
27,2018,3,72,Nathan Shepherd\ShepNa00,DT,24,NYJ,2018,2019,0,0,0,6,25,5,,2.0,Fort Hays St.,
28,2018,3,75,Derrick Nnadi\NnadDe00,DT,22,KAN,2018,2019,0,0,2,11,32,27,1,1.0,Florida St.,College Stats
29,2018,3,79,Rasheem Green\GreeRa01,DT,21,SEA,2018,2019,0,0,1,5,26,8,,5.0,USC,College Stats
30,2018,3,84,Justin Jones\JoneJu03,DT,23,LAC,2018,2019,0,0,1,6,27,12,,0.5,North Carolina St.,College Stats
31,2018,3,90,Deadrin Senat\SenaDe00,DT,24,ATL,2018,2019,0,0,0,2,17,2,,,South Florida,College Stats
32,2018,3,96,Harrison Phillips\PhilHa00,DT,22,BUF,2018,2019,0,0,0,2,19,0,,0.5,Stanford,College Stats
33,2018,4,128,Kentavius Street\StreKe00,DT,21,SFO,2019,2019,0,0,0,0,3,0,,,North Carolina St.,College Stats
34,2018,5,139,R.J. McIntosh\McInR.00,DT,22,NYG,2018,2019,0,0,0,2,18,0,,2.0,Miami (FL),College Stats
35,2018,5,140,Maurice Hurst\HursMa00,DT,23,OAK,2018,2019,0,0,1,8,29,14,1,7.5,Michigan,College Stats
36,2018,5,145,Bilal Nichols\NichBi00,DT,21,CHI,2018,2019,0,0,1,11,27,18,,3.0,Delaware,
37,2018,5,163,Tim Settle\SettTi00,DT,21,WAS,2018,2019,0,0,0,3,31,1,,2.0,Virginia Tech,College Stats
38,2018,6,180,Folorunso Fatukasi\FatuFo00,DT,23,NYJ,2018,2019,0,0,0,2,15,0,,1.0,Connecticut,College Stats
39,2018,6,195,Sebastian Joseph\JoseSe00,DT,23,LAR,2019,2019,0,0,0,6,16,15,,2.0,Rutgers,College Stats
40,2018,6,198,Kahlil McKenzie\McKeKa00,DT,21,KAN,,,0,0,0,,,,,,Tennessee,College Stats
41,2018,7,223,Jullian Taylor\TaylJu00,DT,23,SFO,2018,2019,0,0,0,1,12,0,,,Temple,College Stats
42,2018,7,242,Kendrick Norton\NortKe01,DT,21,CAR,,,0,0,0,,,,,,Miami (FL),College Stats
43,2018,7,246,Joshua Frazier\FrazJo00,DT,22,PIT,,,0,0,0,,,,,,Alabama,College Stats
44,2017,2,35,Malik McDowell\McDoMa00,DT,21,SEA,,,0,0,0,,,,,,Michigan St.,College Stats
45,2017,2,55,Dalvin Tomlinson\TomlDa00,DT,23,NYG,2017,2019,0,0,3,20,48,48,,4.5,Alabama,College Stats
46,2017,3,65,Larry Ogunjobi\OgunLa00,DT,23,CLE,2017,2019,0,0,2,16,45,32,,12.0,Charlotte,College Stats
47,2017,3,88,Eddie Vanderdoes\VandEd00,DT,22,OAK,2017,2019,0,0,1,5,19,13,,,UCLA,College Stats
48,2017,3,93,Montravius Adams\AdamMo00,DT,22,GNB,2017,2019,0,0,0,4,37,3,,1.5,Auburn,College Stats
49,2017,3,102,Nazair Jones\JoneNa00,DT,22,SEA,2017,2018,0,0,0,3,20,2,1,2.0,North Carolina,College Stats
50,2017,4,109,Jaleel Johnson\JohnJa09,DT,23,MIN,2017,2019,0,0,0,5,37,4,,4.0,Iowa,College Stats
51,2017,4,138,Ryan Glasgow\GlasRy00,DT,23,CIN,2017,2019,0,0,0,3,24,3,,,Michigan,College Stats
52,2017,4,142,Carlos Watkins\WatkCa00,DT,23,HOU,2017,2019,0,0,0,5,26,7,,2.0,Clemson,College Stats
53,2017,4,144,Grover Stewart\StewGr00,DT,23,IND,2017,2019,0,0,1,8,46,14,,3.0,Albany State (GA),
