Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
269,2008,7,242,Rob Jackson\JackRo99,DE,22,WAS,2008,2013,0,0,1,9,54,15,5,7.5,Kansas St.,College Stats
270,2007,1,4,Gaines Adams\AdamGa99,DE,24,TAM,2007,2009,0,0,1,17,47,29,2,13.5,Clemson,College Stats
271,2007,1,8,Jamaal Anderson\AndeJa98,DE,21,ATL,2007,2012,0,0,3,20,77,48,,7.5,Arkansas,College Stats
272,2007,1,13,Adam Carriker\CarrAd99,DE,23,STL,2007,2012,0,0,3,23,65,58,,9.0,Nebraska,College Stats
273,2007,1,17,Jarvis Moss\MossJa99,DE,23,DEN,2007,2011,0,0,0,3,53,2,,6.0,Florida,College Stats
274,2007,1,26,Anthony Spencer\SpenAn99,DE,23,DAL,2007,2014,0,1,4,33,104,67,1,33.0,Purdue,College Stats
275,2007,2,46,LaMarr Woodley\WoodLa99,DE,22,PIT,2007,2015,0,1,7,56,110,93,5,58.0,Michigan,College Stats
276,2007,2,56,Tim Crowder\CrowTi99,DE,22,DEN,2007,2011,0,0,1,11,60,14,,10.5,Texas,College Stats
277,2007,2,57,Victor Abiamiri\AbiaVi99,DE,21,PHI,2007,2009,0,0,0,5,29,6,,4.0,Notre Dame,College Stats
278,2007,2,58,Ikaika Alama-Francis\AlamIk99,DE,22,DET,2007,2011,0,0,0,2,35,2,,1.0,Hawaii,College Stats
279,2007,2,62,Dan Bazuin,DE,,CHI,,,0,0,0,,,,,,Central Michigan,College Stats
280,2007,3,65,Quentin Moses\MoseQu99,DE,23,OAK,2007,2010,0,0,0,5,44,2,,3.5,Georgia,College Stats
281,2007,3,83,Charles Johnson\JohnCh98,DE,21,CAR,2007,2017,0,0,8,47,143,114,,67.5,Georgia,College Stats
282,2007,3,97,Ray McDonald\McDoRa99,DE,22,SFO,2007,2014,0,0,5,34,115,68,1,19.5,Florida,College Stats
283,2007,4,102,Brian Robison\RobiBr98,DE,24,MIN,2007,2017,0,0,6,44,173,103,,60.0,Texas,College Stats
284,2007,4,104,Jay Moore,DE,,SFO,,,0,0,0,,,,,,Nebraska,College Stats
285,2007,4,113,Brian Smith,DE,,JAX,,,0,0,0,,,,,,Missouri,College Stats
286,2007,4,120,Baraka Atkins\AtkiBa99,DE,22,SEA,2007,2008,0,0,0,2,21,0,,2.0,Miami (FL),College Stats
287,2007,5,138,Jay Richardson\RichJa99,DE,23,OAK,2007,2013,0,0,2,13,59,22,,7.0,Ohio St.,College Stats
288,2007,5,141,Greg Peterson\PeteGr99,DE,23,TAM,2007,2009,0,0,0,2,14,0,,1.5,North Carolina Central,
289,2007,6,200,Melila Purcell,DE,,CLE,,,0,0,0,,,,,,Hawaii,College Stats
290,2007,6,204,Jacob Ford\FordJa99,DE,24,TEN,2008,2010,0,0,0,9,43,8,,15.5,Central Arkansas,
291,2007,7,213,Chase Pittman,DE,,CLE,,,0,0,0,,,,,,LSU,College Stats
292,2007,7,238,Abraham Wright,DE,,MIA,,,0,0,0,,,,,,Colorado,College Stats
293,2007,7,239,C.J. Ah You\AhYoC.00,DE,25,BUF,2009,2011,0,0,0,4,33,3,,6.0,Oklahoma,College Stats
294,2007,7,242,Keyunta Dawson\DawsKe99,DE,21,IND,2007,2013,0,0,1,14,71,20,,1.5,Texas Tech,College Stats
295,2006,1,1,Mario Williams\WillMa22,DE,21,HOU,2006,2016,1,4,9,76,158,150,,97.5,North Carolina St.,College Stats
296,2006,1,13,Kamerion Wimbley\WimbKa20,DE,22,CLE,2006,2014,0,0,8,46,140,123,2,53.5,Florida St.,College Stats
297,2006,1,20,Tamba Hali\HaliTa20,DE,22,KAN,2006,2017,0,5,10,77,177,157,2,89.5,Penn St.,College Stats
298,2006,1,22,Manny Lawson\LawsMa20,DE,22,SFO,2006,2015,0,0,7,47,143,110,4,24.5,North Carolina St.,College Stats
299,2006,1,32,Mathias Kiwanuka\KiwaMa20,DE,23,NYG,2006,2014,0,0,5,37,120,82,3,38.5,Boston Col.,College Stats
300,2006,2,63,Darryl Tapp\TappDa20,DE,21,SEA,2006,2017,0,0,2,30,165,39,2,29.0,Virginia Tech,College Stats
