Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,College/Univ,
116,2001,2,50,Dominic Raiola\RaioDo20,C,22,DET,2001,2014,0,0,13,67,219,203,Nebraska,College Stats
117,2001,3,92,Casey Rabach\RabaCa20,C,23,BAL,2002,2010,0,0,7,43,137,118,Wisconsin,
118,2001,5,137,Matt Lehr\LehrMa20,C,22,DAL,2001,2008,0,0,3,22,98,51,Virginia Tech,
119,2001,5,146,Chukky Okobi\OkobCh20,C,22,PIT,2001,2007,0,0,0,7,78,7,Purdue,College Stats
120,2001,5,151,Russ Hochstein\HochRu20,C,23,TAM,2002,2012,0,0,1,27,149,37,Nebraska,
121,2001,6,194,Joe Maese\MaesJo20,C,22,BAL,2001,2005,0,0,0,4,65,0,New Mexico,
122,2001,7,211,Louis Williams\WillLo20,C,22,CAR,2002,2002,0,0,0,0,2,0,LSU,
123,2001,7,222,Dennis Norman\NormDe20,C,21,SEA,2003,2009,0,0,1,17,74,24,Princeton,
124,2000,2,60,Brad Meester\MeesBr20,C,23,JAX,2000,2013,0,0,14,72,209,209,Northern Iowa,
125,2000,6,192,John Romero,C,,PHI,,,0,0,0,,,,California,
126,2000,7,228,Kevin Houser\HousKe01,C,23,NOR,2000,2010,0,0,0,7,159,0,Ohio St.,College Stats
127,2000,7,240,Mike Malano,C,,MIN,,,0,0,0,,,,San Diego St.,
