Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
35,Darius Reynolds*\darius-reynolds-1,Iowa State,Big 12,12,43,695,16.2,7,,,,,43,695,16.2,7
36,Devon Smith*\devon-smith-1,Penn State,Big Ten,13,25,402,16.1,2,6,2,0.3,0,31,404,13.0,2
37,Chris Givens*\chris-givens-2,Wake Forest,ACC,13,83,1330,16.0,9,14,77,5.5,0,97,1407,14.5,9
38,Marvin McNutt*\marvin-mcnutt-1,Iowa,Big Ten,13,82,1315,16.0,12,6,58,9.7,0,88,1373,15.6,12
39,Lavon Brazill*\lavon-brazill-1,Ohio,MAC,14,72,1150,16.0,11,5,73,14.6,1,77,1223,15.9,12
40,Tyler Shoemaker*\tyler-shoemaker-1,Boise State,MWC,13,62,994,16.0,16,1,37,37.0,0,63,1031,16.4,16
41,Martel Moore*\martel-moore-1,Northern Illinois,MAC,13,47,747,15.9,7,,,,,47,747,15.9,7
42,Cobi Hamilton*\cobi-hamilton-1,Arkansas,SEC,13,34,542,15.9,4,,,,,34,542,15.9,4
43,Antavious Wilson*\antavious-wilson-1,Marshall,CUSA,12,29,462,15.9,1,,,,,29,462,15.9,1
44,Taylor Stockemer*\taylor-stockemer-1,Arkansas State,Sun Belt,13,48,756,15.8,7,,,,,48,756,15.8,7
45,Toney Clemons\toney-clemons-1,Colorado,Pac-12,13,43,680,15.8,8,0,0,,0,43,680,15.8,8
46,Devonte Christopher*\devonte-christopher-1,Utah,Pac-12,11,42,663,15.8,5,1,0,0.0,0,43,663,15.4,5
